Spielzeit;DrehRichtung;Zahl;Geschwindigkeit;gr. Serie;kl. Serie;Orphelins;Im-/Pair;Kolonne;Manque / Passe
27.02.18 19:10;R;26;16;WAHR;FALSCH;FALSCH;2;2;2
27.02.18 19:11;L;15;17;WAHR;FALSCH;FALSCH;1;3;1
27.02.18 19:13;R;19;16;WAHR;FALSCH;FALSCH;1;1;2
27.02.18 19:14;L;13;18;FALSCH;WAHR;FALSCH;1;1;1
27.02.18 19:17;R;2;15;WAHR;FALSCH;FALSCH;2;2;1
27.02.18 19:19;L;9;16;FALSCH;FALSCH;WAHR;1;3;1
27.02.18 19:21;R;1;17;FALSCH;FALSCH;WAHR;1;1;1
27.02.18 19:24;L;10;17;FALSCH;WAHR;FALSCH;2;1;1
27.02.18 19:26;R;18;18;WAHR;FALSCH;FALSCH;2;3;1
27.02.18 19:28;L;27;18;FALSCH;WAHR;FALSCH;1;3;2
27.02.18 19:30;R;3;17;WAHR;FALSCH;FALSCH;1;3;1
27.02.18 19:32;L;15;17;WAHR;FALSCH;FALSCH;1;3;1
27.02.18 19:34;R;32;16;WAHR;FALSCH;FALSCH;2;2;2
